iter	Passed	Remaining
0	0	85
1	1	76
2	2	71
3	2	65
4	3	62
5	3	59
6	4	59
7	5	58
8	5	57
9	6	55
10	6	53
11	7	52
12	7	50
13	8	49
14	8	49
15	9	48
16	9	46
17	10	46
18	10	45
19	11	45
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	15	41
27	15	40
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	21	31
41	22	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
