iter	Passed	Remaining
0	134	133987
1	134	67199
2	135	44915
3	135	33772
4	136	27089
5	136	22626
6	137	19445
7	137	17056
8	138	15210
9	139	13792
10	140	12598
11	140	11579
12	141	10713
13	141	9972
14	142	9329
15	142	8765
16	143	8268
17	143	7828
18	144	7448
19	145	7127
20	146	6810
21	146	6519
22	147	6252
23	147	6006
24	148	5780
25	148	5573
26	149	5378
27	149	5205
28	150	5043
29	151	4886
30	151	4740
31	152	4602
32	152	4472
33	153	4349
34	153	4234
35	154	4124
36	154	4021
37	154	3923
38	155	3834
39	156	3750
40	156	3667
41	157	3587
42	157	3511
43	158	3451
44	159	3385
45	160	3320
46	160	3258
47	161	3201
48	164	3183
49	164	3129
50	165	3074
51	165	3020
52	166	2968
53	166	2919
54	167	2872
55	167	2830
56	168	2795
57	169	2754
58	170	2713
59	170	2673
60	171	2634
61	171	2597
62	172	2562
63	172	2528
64	173	2500
65	174	2470
66	175	2438
67	175	2405
68	176	2374
69	176	2344
70	176	2315
71	177	2287
72	177	2259
73	178	2232
74	178	2206
75	179	2182
76	180	2161
77	180	2137
78	181	2114
79	181	2090
80	182	2068
81	182	2046
82	183	2023
83	183	2002
84	184	1983
85	184	1963
86	185	1944
87	187	1938
88	187	1921
89	188	1905
90	189	1889
91	189	1872
92	190	1855
93	190	1838
94	191	1822
95	192	1808
96	192	1793
97	193	1777
98	193	1761
99	194	1746
100	194	1732
101	195	1717
102	195	1702
103	195	1688
104	196	1674
105	196	1660
106	197	1648
107	198	1638
108	198	1625
109	199	1614
110	200	1602
111	200	1590
112	201	1578
113	201	1566
114	202	1554
115	202	1543
116	202	1531
117	203	1520
118	204	1513
119	205	1505
120	205	1495
121	206	1484
122	206	1474
123	207	1464
124	207	1455
125	208	1445
126	208	1435
127	209	1425
128	209	1417
129	210	1410
130	211	1401
131	211	1392
132	212	1383
133	212	1374
134	213	1365
135	213	1357
136	214	1348
137	214	1340
138	215	1332
139	215	1325
140	218	1330
141	218	1322
142	219	1314
143	219	1306
144	220	1299
145	220	1291
146	221	1284
147	221	1276
148	223	1274
149	223	1269
150	224	1262
151	225	1256
152	225	1249
153	226	1242
154	226	1236
155	227	1229
156	227	1223
157	228	1217
158	229	1211
159	229	1206
160	230	1199
161	230	1193
162	231	1186
163	231	1180
164	232	1174
165	232	1168
166	233	1162
167	233	1156
168	234	1150
169	235	1150
170	236	1145
171	236	1139
172	237	1134
173	237	1128
174	238	1122
175	238	1117
176	239	1111
177	239	1106
178	240	1102
179	241	1101
180	242	1097
181	243	1092
182	243	1087
183	244	1082
184	244	1077
185	245	1072
186	245	1067
187	246	1063
188	246	1058
189	247	1055
190	247	1050
191	248	1045
192	248	1040
193	249	1036
194	249	1031
195	250	1027
196	250	1022
197	251	1017
198	251	1013
199	252	1008
200	253	1005
201	253	1002
202	254	997
203	254	993
204	255	989
205	255	985
206	256	981
207	256	976
208	257	972
209	257	968
210	257	964
211	258	960
212	259	957
213	259	954
214	260	950
215	260	946
216	261	942
217	261	938
218	262	934
219	262	931
220	263	927
221	263	923
222	264	919
223	264	916
224	265	915
225	266	913
226	267	909
227	267	906
228	268	903
229	268	900
230	269	897
231	269	893
232	270	890
233	270	886
234	271	884
235	272	881
236	272	878
237	273	875
238	273	871
239	274	868
240	274	865
241	275	861
242	275	858
243	276	855
244	276	852
245	277	850
246	278	847
247	279	846
248	279	844
249	280	840
250	280	837
251	281	834
252	281	831
253	282	828
254	282	825
255	283	822
256	283	820
257	285	819
258	285	817
259	286	814
260	286	812
261	287	809
262	287	806
263	288	803
264	288	801
265	289	798
266	290	796
267	290	794
268	291	791
269	291	788
270	292	785
271	292	783
272	293	780
273	293	777
274	293	774
275	294	772
276	294	769
277	295	767
278	296	766
279	297	764
280	297	762
281	298	759
282	298	757
283	299	754
284	299	752
285	300	750
286	300	747
287	301	745
288	310	765
289	311	762
290	311	760
291	312	757
292	312	755
293	313	752
294	313	750
295	314	747
296	315	746
297	315	744
298	316	741
299	316	739
300	317	736
301	317	734
302	318	732
303	318	729
304	319	727
305	319	724
306	320	722
307	320	720
308	321	718
309	325	725
310	326	723
311	327	721
312	328	720
313	328	718
314	329	716
315	330	714
316	330	712
317	331	709
318	331	707
319	331	705
320	332	703
321	332	700
322	333	699
323	334	697
324	334	695
325	335	693
326	335	691
327	336	689
328	336	686
329	337	684
330	337	682
331	338	680
332	338	678
333	339	676
334	339	674
335	340	672
336	340	670
337	341	668
338	341	666
339	342	664
340	342	662
341	343	660
342	343	658
343	344	656
344	344	654
345	345	652
346	345	650
347	346	649
348	347	647
349	347	645
350	348	644
351	348	642
352	349	640
353	349	638
354	350	636
355	350	634
356	351	633
357	352	631
358	352	630
359	353	628
360	353	626
361	354	624
362	354	622
363	355	620
364	355	618
365	356	616
366	356	614
367	357	613
368	358	612
369	359	611
370	359	610
371	360	608
372	361	606
373	361	605
374	362	603
375	362	601
376	363	599
377	363	598
378	364	596
379	364	595
380	365	593
381	365	591
382	366	590
383	366	588
384	367	586
385	367	585
386	368	583
387	368	581
388	369	580
389	369	578
390	370	577
391	371	575
392	371	574
393	372	572
394	373	571
395	373	569
396	374	568
397	374	566
398	374	564
399	375	563
400	376	561
401	376	560
